"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68"
-0.739349365234375,-0.5894775390625,-0.666748046875,-0.58721923828125,-0.596771240234375,-0.65447998046875,-0.65447998046875,-0.584808349609375,-0.6065673828125,-0.5894775390625,-0.68707275390625,-0.605560302734375,-0.6663818359375,-0.60675048828125,-0.58721923828125,NA,NA,-0.7037353515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.696685791015625,-0.68096923828125,-0.608001708984375,-0.60943603515625,-0.637786865234375,-0.590667724609375,-0.74542236328125,-0.60589599609375,-0.656707763671875,-0.73321533203125,-0.666595458984375,-0.632354736328125,-0.652984619140625,-0.74786376953125,NA,NA,-0.72918701171875,NA,NA,-0.659637451171875,NA,NA,NA,-0.65057373046875,NA,NA,NA,-0.6866455078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73968505859375
-0.729278564453125,-0.637908935546875,-0.666259765625,-0.637908935546875,-0.59039306640625,-0.652130126953125,-0.652130126953125,-0.642333984375,NA,NA,-0.718292236328125,NA,NA,NA,NA,-0.601287841796875,-0.54779052734375,-0.746063232421875,-0.611053466796875,-0.64544677734375,-0.644256591796875,NA,NA,NA,NA,NA,NA,NA,NA,-0.7261962890625,NA,NA,NA,NA,NA,-0.758056640625,NA,NA,NA,NA,NA,NA,-0.754241943359375,NA,NA,NA,NA,NA,-0.76416015625,NA,NA,NA,NA,NA,NA,NA,-0.693206787109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.715545654296875
-0.722625732421875,NA,NA,NA,NA,NA,NA,NA,-0.65423583984375,-0.5535888671875,-0.741668701171875,-0.500457763671875,-0.666595458984375,-0.601654052734375,-0.5614013671875,NA,NA,-0.74066162109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7354736328125,NA,NA,NA,NA,NA,-0.741668701171875,NA,NA,NA,NA,NA,NA,-0.644805908203125,NA,NA,-0.704437255859375,NA,NA,-0.76190185546875,NA,NA,NA,-0.69317626953125,NA,-0.7354736328125,NA,-0.744598388671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7666015625
-0.71435546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65679931640625,NA,NA,NA,NA,-0.637451171875,-0.56689453125,-0.693450927734375,-0.653900146484375,-0.66668701171875,-0.630035400390625,NA,NA,NA,NA,NA,NA,NA,NA,-0.747528076171875,NA,NA,NA,NA,NA,-0.616363525390625,NA,NA,NA,NA,NA,NA,-0.7421875,NA,NA,-0.61602783203125,NA,NA,-0.660003662109375,NA,NA,NA,NA,NA,NA,NA,-0.697845458984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.771881103515625
-0.713836669921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5982666015625,NA,NA,NA,NA,NA,NA,-0.7208251953125,NA,NA,NA,-0.70343017578125,-0.6317138671875,-0.68194580078125,-0.699798583984375,-0.655426025390625,-0.618896484375,-0.64007568359375,-0.706085205078125,-0.72576904296875,NA,NA,NA,NA,NA,-0.640716552734375,NA,NA,NA,NA,NA,NA,-0.717041015625,NA,NA,-0.72308349609375,NA,NA,-0.766204833984375,NA,NA,NA,NA,NA,NA,NA,-0.674407958984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.750213623046875
-0.750335693359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.632080078125,NA,NA,NA,NA,NA,NA,-0.7176513671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.765838623046875,NA,NA,NA,NA,NA,-0.666168212890625,NA,NA,NA,NA,NA,NA,-0.723236083984375,NA,NA,NA,NA,NA,-0.756927490234375,NA,NA,NA,NA,NA,NA,NA,-0.7049560546875,NA,NA,NA,-0.662933349609375,-0.671051025390625,NA,NA,NA,NA,NA,-0.766021728515625
-0.74908447265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.707550048828125,NA,NA,NA,-0.63427734375,-0.630767822265625,-0.591949462890625,-0.70263671875,-0.66156005859375,-0.558746337890625,-0.589141845703125,-0.64453125,-0.727874755859375,NA,NA,NA,NA,NA,-0.64801025390625,NA,NA,NA,NA,NA,NA,-0.6700439453125,NA,NA,NA,NA,NA,-0.690826416015625,NA,NA,NA,-0.7073974609375,NA,-0.655670166015625,NA,-0.711822509765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.743408203125
-0.742095947265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7222900390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.748291015625,-0.67974853515625,-0.59246826171875,-0.613525390625,-0.621917724609375,-0.54400634765625,-0.698089599609375,-0.610443115234375,-0.65081787109375,-0.6422119140625,-0.66650390625,-0.70928955078125,-0.70538330078125,-0.66693115234375,NA,NA,-0.664031982421875,NA,NA,-0.72021484375,NA,NA,NA,-0.628448486328125,NA,NA,NA,-0.67083740234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.730438232421875
-0.737091064453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.658905029296875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.774749755859375,NA,NA,NA,NA,NA,-0.65234375,NA,NA,NA,NA,NA,NA,-0.747711181640625,NA,NA,NA,NA,NA,-0.730926513671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.763885498046875
-0.73040771484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75970458984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.749053955078125,NA,NA,NA,NA,NA,-0.627655029296875,NA,NA,NA,NA,NA,NA,-0.760284423828125,NA,NA,-0.680694580078125,NA,NA,-0.736358642578125,NA,NA,NA,-0.69903564453125,NA,-0.6627197265625,NA,-0.76727294921875,-0.6407470703125,-0.67218017578125,-0.688140869140625,NA,NA,NA,NA,NA,NA,NA,-0.7642822265625
-0.745147705078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.73614501953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71197509765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71307373046875,NA,NA,NA,NA,NA,-0.7236328125,NA,NA,NA,-0.621917724609375,NA,-0.68060302734375,NA,-0.75421142578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68756103515625,-0.715362548828125
-0.75299072265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.699127197265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.675079345703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68975830078125,-0.7216796875,-0.6456298828125,-0.666290283203125,-0.733642578125,-0.683746337890625,-0.74371337890625,-0.682525634765625,-0.668426513671875,-0.6688232421875,-0.73614501953125,NA,-0.660736083984375,NA,-0.7103271484375,NA,NA,NA,NA,NA,NA,NA,-0.661376953125,NA,NA,-0.77490234375
-0.732025146484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693389892578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7093505859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739715576171875,NA,NA,-0.665374755859375,NA,NA,-0.725982666015625,NA,NA,NA,NA,NA,NA,NA,-0.703582763671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.760223388671875
-0.712371826171875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.66241455078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.777801513671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.722869873046875,NA,NA,-0.71044921875,NA,NA,-0.613128662109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.765625
-0.71539306640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7354736328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.70709228515625,-0.7279052734375,-0.759735107421875,-0.717254638671875,-0.717254638671875,-0.753387451171875,-0.65130615234375,-0.717254638671875,-0.69476318359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76190185546875
-0.7200927734375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.679656982421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.725372314453125,NA,NA,NA,-0.759918212890625,-0.6329345703125,-0.66845703125,-0.700164794921875,-0.76043701171875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74810791015625
-0.77020263671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.751251220703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71942138671875,NA,NA,NA,-0.704315185546875,NA,-0.737152099609375,NA,-0.688995361328125,NA,NA,NA,NA,NA,-0.629486083984375,-0.718414306640625,NA,NA,NA,-0.7677001953125
-0.77020263671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7655029296875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.661285400390625,NA,NA,NA,NA,NA,NA,NA,-0.764434814453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7232666015625
-0.720245361328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.701629638671875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.755645751953125,-0.658538818359375,-0.76531982421875,-0.727294921875,-0.715850830078125,NA,NA,NA,NA,NA,NA,NA,NA,-0.6697998046875,NA,-0.692626953125
-0.7628173828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.697784423828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.719146728515625,-0.7420654296875,-0.67083740234375,NA,NA,NA,NA,NA,NA,NA,-0.72674560546875
-0.76934814453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.717559814453125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6829833984375,-0.70458984375,NA,NA,NA,NA,NA,-0.74859619140625
-0.65325927734375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7119140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.615478515625,-0.6697998046875,NA,NA,NA,-0.730865478515625
-0.76336669921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.710479736328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.724395751953125,NA,NA,-0.73162841796875
-0.760345458984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.723236083984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7069091796875,NA,-0.77020263671875
-0.72076416015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76190185546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.663299560546875,-0.721588134765625
-0.736083984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74273681640625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74627685546875
